Location,2018_Per_capita_personal_income_in_dollars,2019_Per_capita_personal_income_in_dollars,2020_Per_capita_personal_income_in_dollars,2019_Percent_change,2020_Percent_change
Montgomery,"30,029","29,748","32,125",-0.9,8.0
Nevada,"33,470","33,940","35,808",1.4,5.5
Newton,"29,017","30,265","32,731",4.3,8.1
Ouachita,"37,224","38,582","41,877",3.6,8.5
Perry,"35,410","36,201","38,404",2.2,6.1
Phillips,"31,773","34,052","38,155",7.2,12.0
Pike,"32,608","32,315","33,920",-0.9,5.0
Poinsett,"32,482","34,677","37,307",6.8,7.6
Polk,"30,553","30,512","32,573",-0.1,6.8
Pope,"34,989","35,416","36,617",1.2,3.4
Prairie,"36,502","36,273","42,843",-0.6,18.1
Pulaski,"50,641","52,499","55,563",3.7,5.8
Randolph,"33,255","33,640","36,401",1.2,8.2
St. Francis,"27,247","28,560","30,903",4.8,8.2
Saline,"42,462","43,233","45,692",1.8,5.7
Scott,"31,276","30,901","32,290",-1.2,4.5
Searcy,"27,323","28,270","31,657",3.5,12.0
Sebastian,"41,479","43,310","45,586",4.4,5.3
Sevier,"32,556","31,719","32,926",-2.6,3.8
Sharp,"34,120","34,281","35,612",0.5,3.9
Stone,"30,761","31,171","32,753",1.3,5.1
Union,"43,867","46,081","48,669",5.0,5.6
Van Buren,"30,616","31,752","34,482",3.7,8.6
Washington,"40,194","41,643","43,817",3.6,5.2
White,"36,105","37,110","39,598",2.8,6.7
Woodruff,"36,784","37,638","45,248",2.3,20.2
Yell,"33,652","33,074","33,506",-1.7,1.3
California,"61,663","64,513","70,192",4.6,8.8
Alameda,"75,354","78,839","87,078",4.6,10.5
Alpine,"76,104","79,701","76,175",4.7,-4.4
Amador,"42,466","43,979","47,721",3.6,8.5
Butte,"42,441","45,175","50,279",6.4,11.3
Calaveras,"46,818","48,460","53,026",3.5,9.4
Colusa,"46,623","44,661","57,382",-4.2,28.5
Contra Costa,"79,641","84,614","92,264",6.2,9.0
Del Norte,"35,017","36,092","40,192",3.1,11.4
El Dorado,"65,806","68,125","72,662",3.5,6.7
Fresno,"41,248","43,019","48,495",4.3,12.7
Glenn,"43,449","43,247","52,219",-0.5,20.7
Humboldt,"44,438","46,072","50,182",3.7,8.9
Imperial,"35,331","37,196","44,500",5.3,19.6
Inyo,"57,444","60,229","64,335",4.8,6.8
Kern,"38,079","39,559","44,721",3.9,13.0
Kings,"35,267","36,442","41,829",3.3,14.8
Lake,"40,669","42,144","47,144",3.6,11.9
Lassen,"34,970","35,581","40,490",1.7,13.8
Los Angeles,"59,874","63,043","68,272",5.3,8.3
Madera,"37,373","38,751","44,532",3.7,14.9
Marin,"132,000","138,903","145,575",5.2,4.8
Mariposa,"51,530","53,861","57,828",4.5,7.4
Mendocino,"47,694","49,803","54,795",4.4,10.0
Merced,"37,193","37,952","43,914",2.0,15.7
Modoc,"43,881","45,375","52,779",3.4,16.3
Mono,"46,598","49,356","54,586",5.9,10.6
Monterey,"53,625","56,545","61,510",5.4,8.8
Napa,"70,161","73,886","82,408",5.3,11.5
Nevada,"58,685","60,689","64,876",3.4,6.9
Orange,"67,044","69,951","74,618",4.3,6.7
Placer,"65,547","67,610","72,279",3.1,6.9
Plumas,"49,485","51,044","55,029",3.2,7.8
Riverside,"39,955","41,385","45,834",3.6,10.8
Sacramento,"51,187","53,278","58,307",4.1,9.4
San Benito,"50,703","52,806","60,807",4.1,15.2
San Bernardino,"38,781","40,537","44,831",4.5,10.6
San Diego,"58,719","60,845","66,266",3.6,8.9
San Francisco,"129,280","133,856","144,818",3.5,8.2
San Joaquin,"43,077","45,075","51,816",4.6,15.0
San Luis Obispo,"55,913","58,693","62,342",5.0,6.2
San Mateo,"125,332","132,133","141,841",5.4,7.3
Santa Barbara,"60,818","62,715","67,879",3.1,8.2
Santa Clara,"108,344","114,649","123,661",5.8,7.9
Santa Cruz,"65,751","68,990","75,957",4.9,10.1
Shasta,"44,549","46,417","51,649",4.2,11.3
Sierra,"42,769","45,432","49,139",6.2,8.2
Siskiyou,"42,887","44,158","49,664",3.0,12.5
Solano,"49,336","51,889","58,688",5.2,13.1
Sonoma,"61,501","64,869","71,386",5.5,10.0
Stanislaus,"41,850","43,402","48,954",3.7,12.8
Sutter,"43,336","45,054","50,730",4.0,12.6
Tehama,"39,460","40,775","46,007",3.3,12.8
Trinity,"38,249","39,959","43,877",4.5,9.8
Tulare,"38,613","40,040","46,348",3.7,15.8
Tuolumne,"44,695","46,166","49,708",3.3,7.7
Ventura,"60,238","63,190","67,422",4.9,6.7
Yolo,"51,690","54,398","58,391",5.2,7.3
Yuba,"40,196","41,384","46,373",3.0,12.1
Colorado,"58,267","60,848","63,776",4.4,4.8
Adams,"43,482","45,026","48,115",3.6,6.9
Alamosa,"36,671","38,403","42,974",4.7,11.9
Arapahoe,"61,243","63,741","66,691",4.1,4.6
Archuleta,"42,313","43,253","46,287",2.2,7.0
Baca,"41,283","39,076","53,223",-5.3,36.2
Bent,"27,096","29,253","33,591",8.0,14.8
Boulder,"72,607","77,305","79,649",6.5,3.0
Broomfield,"68,365","65,397","67,495",-4.3,3.2
Chaffee,"46,488","48,991","51,361",5.4,4.8
Cheyenne,"39,384","52,633","61,731",33.6,17.3
Clear Creek,"59,243","62,927","67,132",6.2,6.7
Conejos,"35,096","35,296","39,847",0.6,12.9
Costilla,"32,570","33,520","38,430",2.9,14.6
Crowley,"19,656","20,086","23,751",2.2,18.2
Custer,"40,117","42,383","45,691",5.6,7.8
Delta,"37,900","38,293","42,127",1.0,10.0
Denver,"77,667","83,192","85,411",7.1,2.7
Dolores,"36,047","37,942","42,093",5.3,10.9
Douglas,"76,051","76,408","78,980",0.5,3.4
Eagle,"81,871","85,253","87,872",4.1,3.1
Elbert,"58,344","60,702","63,970",4.0,5.4
El Paso,"48,545","50,845","54,151",4.7,6.5
Fremont,"34,654","35,713","38,952",3.1,9.1
Garfield,"57,918","60,376","62,581",4.2,3.7
Gilpin,"47,816","50,517","55,256",5.6,9.4
Grand,"51,717","53,867","57,476",4.2,6.7
Gunnison,"46,973","47,372","51,025",0.8,7.7
Hinsdale,"47,322","48,227","49,423",1.9,2.5
Huerfano,"38,921","40,974","46,859",5.3,14.4
Jackson,"53,671","53,747","62,008",0.1,15.4
Jefferson,"62,402","66,183","68,829",6.1,4.0
Kiowa,"44,092","53,319","66,839",20.9,25.4
Kit Carson,"36,174","41,914","47,198",15.9,12.6
Lake,"35,846","37,102","40,344",3.5,8.7
La Plata,"55,994","57,722","61,304",3.1,6.2
Larimer,"53,836","55,935","58,725",3.9,5.0
Las Animas,"37,987","38,161","43,118",0.5,13.0
Lincoln,"28,066","29,415","35,695",4.8,21.3
Logan,"43,833","42,751","46,217",-2.5,8.1
Mesa,"44,691","45,898","48,435",2.7,5.5
Mineral,"66,286","72,101","73,101",8.8,1.4
Moffat,"42,131","42,802","47,467",1.6,10.9
Montezuma,"41,684","42,988","46,919",3.1,9.1
Montrose,"40,933","41,922","45,262",2.4,8.0
