Location,2018_Per_capita_personal_income_in_dollars,2019_Per_capita_personal_income_in_dollars,2020_Per_capita_personal_income_in_dollars,2019_Percent_change,2020_Percent_change
Edmonson,"32,648","34,265","37,223",5.0,8.6
Elliott,"22,422","23,090","27,001",3.0,16.9
Estill,"31,910","32,995","36,569",3.4,10.8
Fayette,"49,847","51,983","54,824",4.3,5.5
Fleming,"33,854","35,038","39,846",3.5,13.7
Floyd,"36,191","37,129","41,330",2.6,11.3
Franklin,"41,900","43,522","47,009",3.9,8.0
Fulton,"32,521","35,227","39,745",8.3,12.8
Gallatin,"33,110","34,201","38,178",3.3,11.6
Garrard,"34,478","35,501","38,822",3.0,9.4
Grant,"35,850","37,427","40,772",4.4,8.9
Graves,"37,254","38,693","42,264",3.9,9.2
Grayson,"33,270","34,969","38,959",5.1,11.4
Green,"33,685","35,099","39,882",4.2,13.6
Greenup,"41,068","42,131","45,897",2.6,8.9
Hancock,"37,317","40,862","40,261",9.5,-1.5
Hardin,"42,599","44,464","47,873",4.4,7.7
Harlan,"30,308","31,441","35,824",3.7,13.9
Harrison,"35,113","36,846","41,079",4.9,11.5
Hart,"32,627","34,228","37,418",4.9,9.3
Henderson,"39,088","41,329","44,793",5.7,8.4
Henry,"38,129","39,893","43,426",4.6,8.9
Hickman,"41,701","43,207","46,425",3.6,7.4
Hopkins,"38,823","40,219","42,918",3.6,6.7
Jackson,"28,515","29,905","33,106",4.9,10.7
Jefferson,"52,081","54,293","57,863",4.2,6.6
Jessamine,"44,884","46,769","49,406",4.2,5.6
Johnson,"32,985","34,442","37,769",4.4,9.7
Kenton,"56,075","58,917","62,500",5.1,6.1
Knott,"30,385","31,517","35,697",3.7,13.3
Knox,"28,882","29,841","33,797",3.3,13.3
Larue,"36,712","38,332","42,333",4.4,10.4
Laurel,"33,576","34,265","37,869",2.1,10.5
Lawrence,"31,567","33,031","36,446",4.6,10.3
Lee,"29,693","28,755","32,694",-3.2,13.7
Leslie,"32,599","34,057","38,666",4.5,13.5
Letcher,"30,524","31,560","35,770",3.4,13.3
Lewis,"31,032","32,167","36,806",3.7,14.4
Lincoln,"31,806","33,549","37,303",5.5,11.2
Livingston,"36,807","38,644","43,379",5.0,12.3
Logan,"34,830","37,061","40,963",6.4,10.5
Lyon,"35,847","37,823","40,843",5.5,8.0
McCracken,"46,576","48,517","52,171",4.2,7.5
McCreary,"25,887","26,649","30,943",2.9,16.1
McLean,"38,981","39,825","43,162",2.2,8.4
Madison,"35,177","35,969","39,093",2.3,8.7
Magoffin,"31,530","33,307","38,033",5.6,14.2
Marion,"36,362","37,733","41,225",3.8,9.3
Marshall,"40,296","42,509","45,975",5.5,8.2
Martin,"29,474","29,194","32,383",-0.9,10.9
Mason,"39,302","41,414","45,488",5.4,9.8
Meade,"39,332","41,449","44,720",5.4,7.9
Menifee,"30,364","31,719","35,489",4.5,11.9
Mercer,"36,717","37,891","41,025",3.2,8.3
Metcalfe,"30,599","31,968","35,804",4.5,12.0
Monroe,"35,891","37,421","42,638",4.3,13.9
Montgomery,"34,516","36,141","39,549",4.7,9.4
Morgan,"26,967","28,308","31,500",5.0,11.3
Muhlenberg,"33,531","34,807","37,328",3.8,7.2
Nelson,"42,510","44,101","47,784",3.7,8.4
Nicholas,"34,082","35,360","39,531",3.7,11.8
Ohio,"32,508","33,140","36,606",1.9,10.5
Oldham,"63,867","66,583","68,986",4.3,3.6
Owen,"33,466","33,906","37,464",1.3,10.5
Owsley,"31,469","32,179","36,830",2.3,14.5
Pendleton,"43,704","45,354","46,524",3.8,2.6
Perry,"37,606","38,701","43,661",2.9,12.8
Pike,"36,501","35,833","39,450",-1.8,10.1
Powell,"31,713","32,497","37,224",2.5,14.5
Pulaski,"36,879","38,331","41,989",3.9,9.5
Robertson,"32,518","33,813","39,137",4.0,15.7
Rockcastle,"30,817","32,301","35,809",4.8,10.9
Rowan,"30,915","31,654","34,561",2.4,9.2
Russell,"36,043","37,449","40,672",3.9,8.6
Scott,"43,176","44,391","47,509",2.8,7.0
Shelby,"45,299","46,655","50,602",3.0,8.5
Simpson,"37,218","38,943","42,537",4.6,9.2
Spencer,"44,245","45,606","49,066",3.1,7.6
Taylor,"34,064","35,388","39,488",3.9,11.6
Todd,"36,274","38,800","41,672",7.0,7.4
Trigg,"36,342","38,177","41,497",5.0,8.7
Trimble,"38,405","40,200","44,227",4.7,10.0
Union,"33,388","36,328","41,157",8.8,13.3
Warren,"37,256","38,153","40,705",2.4,6.7
Washington,"37,413","38,091","41,902",1.8,10.0
Wayne,"28,725","29,160","33,258",1.5,14.1
Webster,"38,399","39,887","42,496",3.9,6.5
Whitley,"33,163","34,331","38,256",3.5,11.4
Wolfe,"31,056","31,477","36,449",1.4,15.8
Woodford,"50,920","53,192","54,911",4.5,3.2
Louisiana,"46,117","47,670","50,874",3.4,6.7
Acadia,"37,000","37,337","40,916",0.9,9.6
Allen,"33,920","34,997","37,054",3.2,5.9
Ascension,"50,003","51,516","54,395",3.0,5.6
Assumption,"47,374","49,020","51,585",3.5,5.2
Avoyelles,"37,552","38,588","41,977",2.8,8.8
Beauregard,"42,466","43,502","47,003",2.4,8.0
Bienville,"38,210","38,881","42,372",1.8,9.0
Bossier,"44,292","45,535","48,907",2.8,7.4
Caddo,"48,822","50,376","55,047",3.2,9.3
Calcasieu,"48,576","49,562","50,994",2.0,2.9
Caldwell,"33,264","34,840","38,705",4.7,11.1
Cameron,"46,786","48,227","49,224",3.1,2.1
Catahoula,"32,534","34,749","39,357",6.8,13.3
Claiborne,"33,499","34,115","36,281",1.8,6.3
Concordia,"32,179","33,666","38,891",4.6,15.5
De Soto,"41,279","42,314","45,615",2.5,7.8
East Baton Rouge,"51,486","53,223","56,484",3.4,6.1
East Carroll,"34,245","35,331","41,875",3.2,18.5
East Feliciana,"41,245","42,654","44,787",3.4,5.0
Evangeline,"32,682","33,380","37,820",2.1,13.3
Franklin,"31,338","32,965","37,754",5.2,14.5
Grant,"30,911","31,756","34,870",2.7,9.8
Iberia,"39,161","41,006","44,242",4.7,7.9
Iberville,"41,120","43,494","46,461",5.8,6.8
Jackson,"33,451","34,499","37,665",3.1,9.2
Jefferson,"50,428","51,950","55,373",3.0,6.6
Jefferson Davis,"41,482","42,513","45,620",2.5,7.3
Lafayette,"49,004","49,632","52,507",1.3,5.8
Lafourche,"44,617","45,884","48,741",2.8,6.2
LaSalle,"31,663","33,808","36,116",6.8,6.8
Lincoln,"39,587","42,155","44,944",6.5,6.6
Livingston,"42,712","43,122","45,620",1.0,5.8
Madison,"31,209","32,651","38,337",4.6,17.4
Morehouse,"37,277","39,290","44,187",5.4,12.5
Natchitoches,"39,755","41,113","43,702",3.4,6.3
Orleans,"51,494","53,142","57,421",3.2,8.1
Ouachita,"41,180","42,164","45,661",2.4,8.3
Plaquemines,"47,787","48,482","51,456",1.5,6.1
Pointe Coupee,"46,073","48,688","52,332",5.7,7.5
Rapides,"44,779","46,666","50,226",4.2,7.6
Red River,"44,816","42,778","45,680",-4.5,6.8
Richland,"37,104","38,908","42,644",4.9,9.6
Sabine,"35,136","36,280","38,190",3.3,5.3
St. Bernard,"31,809","32,956","36,093",3.6,9.5
St. Charles,"48,688","50,137","53,148",3.0,6.0
St. Helena,"43,721","44,753","48,743",2.4,8.9
St. James,"51,349","53,762","56,880",4.7,5.8
St. John the Baptist,"40,383","42,329","45,927",4.8,8.5
St. Landry,"40,083","42,357","46,131",5.7,8.9
St. Martin,"38,074","39,293","42,203",3.2,7.4
St. Mary,"39,626","41,877","45,760",5.7,9.3
St. Tammany,"64,928","68,914","70,190",6.1,1.9
Tangipahoa,"37,928","38,963","41,792",2.7,7.3
Tensas,"37,402","41,879","44,043",12.0,5.2
Terrebonne,"41,236","42,545","45,942",3.2,8.0
Union,"40,170","41,110","43,609",2.3,6.1
Vermilion,"39,150","40,111","42,526",2.5,6.0
Vernon,"40,793","42,488","45,320",4.2,6.7
Washington,"33,530","35,224","38,515",5.1,9.3
Webster,"39,901","41,473","45,088",3.9,8.7
West Baton Rouge,"47,177","49,018","51,758",3.9,5.6
West Carroll,"34,570","32,175","37,148",-6.9,15.5
West Feliciana,"38,264","39,414","41,145",3.0,4.4
Winn,"35,988","38,645","41,491",7.4,7.4
Maine,"48,594","50,421","54,211",3.8,7.5
Androscoggin,"40,869","42,698","46,357",4.5,8.6
Aroostook,"40,917","42,664","47,605",4.3,11.6
Cumberland,"62,198","64,361","68,237",3.5,6.0
Franklin,"38,681","40,425","43,276",4.5,7.1
Hancock,"50,442","52,016","55,393",3.1,6.5
Kennebec,"44,735","46,677","50,469",4.3,8.1
Knox,"49,849","51,685","54,363",3.7,5.2
Lincoln,"49,933","51,621","54,300",3.4,5.2
Oxford,"37,756","38,988","42,327",3.3,8.6
Penobscot,"41,554","43,083","47,315",3.7,9.8
Piscataquis,"38,677","39,349","42,527",1.7,8.1
Sagadahoc,"50,918","52,383","55,965",2.9,6.8
Somerset,"37,605","39,093","43,134",4.0,10.3
Waldo,"41,442","44,116","47,495",6.5,7.7
Washington,"39,602","40,813","45,558",3.1,11.6
York,"52,537","54,396","58,038",3.5,6.7
Maryland,"61,600","62,989","66,799",2.3,6.0
Allegany,"39,391","40,687","43,970",3.3,8.1
Anne Arundel,"66,510","68,314","72,197",2.7,5.7
Baltimore,"59,695","62,543","66,585",4.8,6.5
Calvert,"61,389","63,247","66,469",3.0,5.1
Caroline,"44,700","45,657","48,393",2.1,6.0
Carroll,"61,328","63,409","66,901",3.4,5.5
Cecil,"47,516","48,834","51,853",2.8,6.2
Charles,"55,839","57,196","61,324",2.4,7.2
Dorchester,"44,828","46,514","49,921",3.8,7.3
Frederick,"61,728","62,804","66,664",1.7,6.1
Garrett,"43,822","45,630","48,630",4.1,6.6
Harford,"57,839","59,653","63,432",3.1,6.3
Howard,"76,499","78,033","81,969",2.0,5.0
Kent,"58,935","60,407","64,331",2.5,6.5
Montgomery,"86,316","86,221","89,552",-0.1,3.9
Prince George's,"48,421","49,947","54,195",3.2,8.5
Queen Anne's,"63,043","64,996","67,861",3.1,4.4
St. Mary's,"56,372","57,891","61,144",2.7,5.6
Somerset,"29,978","30,623","32,531",2.2,6.2
Talbot,"70,343","72,729","76,528",3.4,5.2
Washington,"45,700","47,071","50,493",3.0,7.3
Wicomico,"40,321","41,134","44,184",2.0,7.4
Worcester,"56,079","56,536","59,881",0.8,5.9
Baltimore City,"49,219","49,964","54,097",1.5,8.3
Massachusetts,"70,610","73,477","78,458",4.1,6.8
Barnstable,"71,735","75,339","80,420",5.0,6.7
Berkshire,"55,947","57,300","61,872",2.4,8.0
Bristol,"53,044","55,411","61,031",4.5,10.1
Dukes,"87,311","87,121","89,757",-0.2,3.0
Essex,"66,196","68,854","74,519",4.0,8.2
Franklin,"54,032","55,859","59,853",3.4,7.2
Hampden,"51,183","52,905","57,821",3.4,9.3
Hampshire,"52,165","53,816","57,030",3.2,6.0
Middlesex,"82,826","86,525","90,688",4.5,4.8
Nantucket,"113,809","115,305","114,832",1.3,-0.4
Norfolk,"90,442","93,470","98,019",3.3,4.9
Plymouth,"66,219","68,792","74,034",3.9,7.6
Suffolk,"80,916","84,307","90,571",4.2,7.4
Worcester,"55,971","58,196","63,286",4.0,8.7
Michigan,"47,708","49,277","53,259",3.3,8.1
Alcona,"38,678","40,579","44,953",4.9,10.8
Alger,"33,280","34,032","37,951",2.3,11.5
Allegan,"45,086","46,185","50,091",2.4,8.5
Alpena,"40,050","41,212","45,685",2.9,10.9
Antrim,"46,307","48,432","52,490",4.6,8.4
Arenac,"37,333","38,639","43,466",3.5,12.5
Baraga,"32,398","34,274","38,750",5.8,13.1
Barry,"44,431","45,920","49,232",3.4,7.2
Bay,"42,286","43,554","47,786",3.0,9.7
Benzie,"44,188","45,896","50,509",3.9,10.1
Berrien,"47,325","48,231","52,395",1.9,8.6
Branch,"36,349","37,942","42,356",4.4,11.6
Calhoun,"39,189","40,428","44,729",3.2,10.6
Cass,"44,529","45,216","50,365",1.5,11.4
Charlevoix,"51,899","53,133","57,289",2.4,7.8
Cheboygan,"38,602","40,138","44,801",4.0,11.6
Chippewa,"33,642","35,284","39,693",4.9,12.5
Clare,"34,501","34,619","38,655",0.3,11.7
Clinton,"46,013","47,341","51,053",2.9,7.8
Crawford,"34,583","35,237","39,405",1.9,11.8
Delta,"39,332","40,957","45,260",4.1,10.5
Dickinson,"47,908","48,949","53,526",2.2,9.4
Eaton,"42,326","43,537","47,407",2.9,8.9
Emmet,"55,980","58,548","62,918",4.6,7.5
Genesee,"40,495","41,940","46,152",3.6,10.0
Gladwin,"36,249","37,307","40,772",2.9,9.3
Gogebic,"39,296","43,769","47,894",11.4,9.4
Grand Traverse,"50,582","52,631","56,861",4.1,8.0
Gratiot,"36,786","37,530","42,067",2.0,12.1
Hillsdale,"35,290","35,801","39,404",1.4,10.1
Houghton,"37,069","38,870","42,884",4.9,10.3
Huron,"44,793","45,933","53,638",2.5,16.8
Ingham,"39,912","41,298","44,957",3.5,8.9
Ionia,"34,824","35,503","39,366",1.9,10.9
Iosco,"36,720","38,943","43,618",6.1,12.0
Iron,"43,659","45,446","49,153",4.1,8.2
Isabella,"34,961","36,275","40,021",3.8,10.3
Jackson,"39,359","40,413","44,889",2.7,11.1
Kalamazoo,"47,968","49,305","52,403",2.8,6.3
Kalkaska,"35,103","36,085","41,545",2.8,15.1
Kent,"52,153","53,799","57,397",3.2,6.7
Keweenaw,"46,617","48,537","51,972",4.1,7.1
Lake,"33,117","34,379","39,507",3.8,14.9
Lapeer,"43,493","44,862","49,441",3.1,10.2
Leelanau,"66,770","69,373","73,238",3.9,5.6
Lenawee,"39,559","40,866","44,821",3.3,9.7
Livingston,"57,832","59,097","62,622",2.2,6.0
Luce,"30,740","31,604","36,339",2.8,15.0
Mackinac,"43,071","44,986","50,217",4.4,11.6
Macomb,"46,350","47,730","52,195",3.0,9.4
Manistee,"39,516","40,663","44,382",2.9,9.1
Marquette,"39,083","40,284","44,445",3.1,10.3
Mason,"40,297","41,185","45,326",2.2,10.1
Mecosta,"33,334","33,868","37,579",1.6,11.0
Menominee,"42,485","43,943","47,594",3.4,8.3
Midland,"53,973","54,477","57,561",0.9,5.7
Missaukee,"34,818","35,914","40,298",3.1,12.2
Monroe,"47,091","48,696","52,028",3.4,6.8
Montcalm,"34,427","35,911","40,018",4.3,11.4
Montmorency,"36,806","37,620","42,154",2.2,12.1
Muskegon,"38,141","39,769","44,000",4.3,10.6
Newaygo,"37,123","38,246","42,117",3.0,10.1
Oakland,"71,324","73,468","76,941",3.0,4.7
Oceana,"37,497","38,890","43,261",3.7,11.2
Ogemaw,"34,684","34,411","39,101",-0.8,13.6
Ontonagon,"38,911","41,340","45,761",6.2,10.7
Osceola,"36,203","37,980","41,965",4.9,10.5
Oscoda,"33,504","34,394","36,374",2.7,5.8
Otsego,"40,141","41,634","46,166",3.7,10.9
Ottawa,"48,391","49,484","52,759",2.3,6.6
Presque Isle,"39,668","41,339","45,872",4.2,11.0
Roscommon,"36,156","37,140","41,258",2.7,11.1
Saginaw,"39,289","41,659","45,328",6.0,8.8
St. Clair,"44,050","45,787","50,107",3.9,9.4
St. Joseph,"37,935","39,092","43,818",3.0,12.1
Sanilac,"37,459","38,005","44,093",1.5,16.0
Schoolcraft,"39,576","40,822","45,281",3.1,10.9
Shiawassee,"39,215","40,589","44,855",3.5,10.5
Tuscola,"36,808","38,014","43,073",3.3,13.3
Van Buren,"40,711","41,686","45,869",2.4,10.0
Washtenaw,"58,667","61,101","63,655",4.1,4.2
Wayne,"42,635","44,308","48,788",3.9,10.1
Wexford,"36,027","37,750","41,545",4.8,10.1
Minnesota,"56,986","58,426","62,005",2.5,6.1
Aitkin,"40,077","41,614","46,390",3.8,11.5
Anoka,"51,277","52,722","55,694",2.8,5.6
Becker,"46,679","48,065","51,772",3.0,7.7
Beltrami,"41,220","42,096","45,368",2.1,7.8
Benton,"43,993","45,690","49,403",3.9,8.1
Big Stone,"51,804","51,543","62,498",-0.5,21.3
Blue Earth,"44,716","45,586","49,288",1.9,8.1
Brown,"52,235","54,004","59,763",3.4,10.7
Carlton,"42,664","44,132","47,227",3.4,7.0
Carver,"71,681","73,023","75,677",1.9,3.6
Cass,"46,777","47,734","51,340",2.0,7.6
Chippewa,"46,774","51,352","56,148",9.8,9.3
Chisago,"48,693","50,229","53,140",3.2,5.8
Clay,"42,385","43,630","47,522",2.9,8.9
Clearwater,"43,596","44,428","49,654",1.9,11.8
Cook,"54,255","54,021","56,220",-0.4,4.1
Cottonwood,"46,224","45,306","56,130",-2.0,23.9
Crow Wing,"44,425","46,053","49,092",3.7,6.6
Dakota,"60,539","61,977","64,748",2.4,4.5
Dodge,"45,757","46,516","51,585",1.7,10.9
Douglas,"51,458","52,139","56,039",1.3,7.5
Faribault,"40,793","42,944","50,321",5.3,17.2
Fillmore,"44,225","44,185","49,630",-0.1,12.3
Freeborn,"44,169","45,543","50,364",3.1,10.6
Goodhue,"53,617","54,722","58,303",2.1,6.5
Grant,"46,236","45,370","55,429",-1.9,22.2
Hennepin,"74,461","76,131","79,183",2.2,4.0
Houston,"50,599","51,566","55,443",1.9,7.5
Hubbard,"43,616","49,506","52,122",13.5,5.3
Isanti,"44,570","45,950","49,082",3.1,6.8
Itasca,"44,119","45,348","48,872",2.8,7.8
Jackson,"50,891","53,316","62,789",4.8,17.8
Kanabec,"41,793","43,250","48,092",3.5,11.2
Kandiyohi,"52,609","52,047","57,122",-1.1,9.8
Kittson,"49,233","46,418","63,181",-5.7,36.1
Koochiching,"42,319","45,763","49,019",8.1,7.1
Lac qui Parle,"48,854","50,540","60,286",3.5,19.3
Lake,"48,473","49,236","51,683",1.6,5.0
Lake of the Woods,"57,082","54,717","60,435",-4.1,10.5
Le Sueur,"48,800","50,038","54,361",2.5,8.6
Lincoln,"44,049","46,968","53,464",6.6,13.8
Lyon,"49,344","49,992","54,589",1.3,9.2
McLeod,"48,308","49,640","54,149",2.8,9.1
Mahnomen,"34,794","34,186","40,781",-1.7,19.3
Marshall,"50,342","49,025","63,090",-2.6,28.7
Martin,"50,865","52,242","57,955",2.7,10.9
Meeker,"44,042","44,873","49,478",1.9,10.3
Mille Lacs,"42,000","43,471","47,379",3.5,9.0
Morrison,"42,263","42,293","47,610",0.1,12.6
Mower,"45,464","46,221","50,537",1.7,9.3
Murray,"50,291","52,414","63,620",4.2,21.4
Nicollet,"48,552","49,652","53,083",2.3,6.9
Nobles,"43,870","44,897","53,881",2.3,20.0
Norman,"37,153","37,345","51,626",0.5,38.2
Olmsted,"58,183","59,450","63,100",2.2,6.1
Otter Tail,"47,182","48,116","52,707",2.0,9.5
Pennington,"55,622","56,612","61,825",1.8,9.2
Pine,"37,085","38,737","42,237",4.5,9.0
Pipestone,"54,290","54,055","59,326",-0.4,9.8
Polk,"46,019","47,089","55,849",2.3,18.6
Pope,"49,895","50,171","56,561",0.6,12.7
Ramsey,"53,728","55,442","58,557",3.2,5.6
Red Lake,"49,792","48,415","55,620",-2.8,14.9
Redwood,"49,591","53,572","61,772",8.0,15.3
Renville,"49,351","48,527","58,489",-1.7,20.5
Rice,"43,652","44,816","47,839",2.7,6.7
Rock,"50,509","50,595","59,225",0.2,17.1
Roseau,"49,013","48,237","55,999",-1.6,16.1
St. Louis,"46,769","48,216","50,986",3.1,5.7
Scott,"61,376","62,916","65,655",2.5,4.4
Sherburne,"46,776","47,802","50,710",2.2,6.1
Sibley,"45,909","47,932","53,677",4.4,12.0
Stearns,"46,305","47,483","51,216",2.5,7.9
Steele,"45,969","47,429","51,703",3.2,9.0
Stevens,"45,439","46,825","55,345",3.1,18.2
Swift,"49,216","48,734","56,060",-1.0,15.0
Todd,"42,147","43,113","47,123",2.3,9.3
Traverse,"52,791","51,487","74,000",-2.5,43.7
Wabasha,"47,643","49,096","53,837",3.0,9.7
Wadena,"39,477","40,131","43,925",1.7,9.5
Waseca,"41,775","42,148","47,139",0.9,11.8
Washington,"67,523","69,495","72,273",2.9,4.0
Watonwan,"43,256","45,378","53,034",4.9,16.9
Wilkin,"53,023","51,647","62,497",-2.6,21.0
Winona,"47,064","48,417","52,198",2.9,7.8
Wright,"50,890","52,035","55,218",2.2,6.1
Yellow Medicine,"51,140","54,077","61,315",5.7,13.4
Mississippi,"37,822","39,062","42,129",3.3,7.9
Adams,"33,741","35,171","38,331",4.2,9.0
Alcorn,"36,146","36,622","38,956",1.3,6.4
Amite,"34,755","35,482","37,692",2.1,6.2
Attala,"32,970","34,612","37,962",5.0,9.7
Benton,"30,870","31,413","34,691",1.8,10.4
Bolivar,"38,076","38,102","42,767",0.1,12.2
Calhoun,"32,428","33,690","38,017",3.9,12.8
Carroll,"37,627","38,098","41,624",1.3,9.3
Chickasaw,"34,432","36,206","40,254",5.2,11.2
Choctaw,"33,277","34,996","38,813",5.2,10.9
Claiborne,"30,524","31,580","34,852",3.5,10.4
Clarke,"37,534","38,710","42,207",3.1,9.0
Clay,"36,184","38,522","42,187",6.5,9.5
Coahoma,"34,602","37,050","40,781",7.1,10.1
Copiah,"32,988","34,056","36,414",3.2,6.9
Covington,"37,223","37,410","38,250",0.5,2.2
DeSoto,"41,695","42,575","45,764",2.1,7.5
Forrest,"38,441","39,104","42,175",1.7,7.9
Franklin,"33,767","35,842","38,355",6.1,7.0
George,"33,726","34,482","38,668",2.2,12.1
Greene,"27,889","28,975","31,102",3.9,7.3
Grenada,"35,571","36,642","40,296",3.0,10.0
Hancock,"34,782","36,243","39,455",4.2,8.9
Harrison,"37,073","38,245","41,534",3.2,8.6
Hinds,"38,549","40,176","43,452",4.2,8.2
Holmes,"28,108","29,967","33,567",6.6,12.0
Humphreys,"31,826","34,850","40,236",9.5,15.5
Issaquena,"21,654","26,748","38,921",23.5,45.5
Itawamba,"35,614","36,827","39,878",3.4,8.3
Jackson,"37,234","38,663","41,575",3.8,7.5
Jasper,"39,377","40,697","41,967",3.4,3.1
Jefferson,"34,309","35,326","38,101",3.0,7.9
Jefferson Davis,"30,306","30,640","33,434",1.1,9.1
Jones,"37,651","38,659","40,402",2.7,4.5
Kemper,"28,981","29,942","33,841",3.3,13.0
Lafayette,"42,819","43,865","46,037",2.4,5.0
Lamar,"39,625","40,582","43,227",2.4,6.5
Lauderdale,"37,635","39,481","42,673",4.9,8.1
Lawrence,"34,872","34,769","36,649",-0.3,5.4
Leake,"31,990","31,914","32,239",-0.2,1.0
Lee,"41,276","42,835","46,138",3.8,7.7
Leflore,"36,841","39,296","43,878",6.7,11.7
Lincoln,"38,537","39,466","42,121",2.4,6.7
Lowndes,"38,333","40,785","44,152",6.4,8.3
Madison,"63,894","65,334","68,381",2.3,4.7
Marion,"37,823","38,467","41,433",1.7,7.7
Marshall,"33,096","34,601","37,543",4.5,8.5
Monroe,"35,197","36,370","39,729",3.3,9.2
Montgomery,"33,868","35,526","39,432",4.9,11.0
Neshoba,"36,067","37,731","38,507",4.6,2.1
Newton,"35,116","36,017","37,484",2.6,4.1
Noxubee,"31,555","34,842","37,781",10.4,8.4
Oktibbeha,"34,543","35,408","37,853",2.5,6.9
Panola,"32,844","33,845","37,593",3.0,11.1
Pearl River,"36,369","37,849","40,201",4.1,6.2
Perry,"32,631","33,510","36,953",2.7,10.3
Pike,"30,772","31,673","34,718",2.9,9.6
Pontotoc,"33,007","33,953","37,342",2.9,10.0
Prentiss,"30,407","31,461","34,158",3.5,8.6
Quitman,"28,336","29,765","34,239",5.0,15.0
Rankin,"44,657","45,632","48,295",2.2,5.8
Scott,"31,449","31,657","32,840",0.7,3.7
Sharkey,"32,747","34,344","42,775",4.9,24.5
Simpson,"36,995","37,381","38,987",1.0,4.3
Smith,"35,968","36,086","36,494",0.3,1.1
Stone,"33,273","34,214","37,001",2.8,8.1
Sunflower,"30,039","30,865","35,454",2.7,14.9
Tallahatchie,"28,886","30,200","33,784",4.5,11.9
Tate,"35,594","37,032","40,134",4.0,8.4
Tippah,"36,755","38,248","42,051",4.1,9.9
Tishomingo,"33,988","35,052","37,593",3.1,7.2
Tunica,"32,016","35,554","40,994",11.1,15.3
Union,"32,197","33,657","36,387",4.5,8.1
Walthall,"31,720","32,414","34,814",2.2,7.4
Warren,"39,825","41,129","44,422",3.3,8.0
Washington,"36,753","37,699","43,778",2.6,16.1
Wayne,"34,910","35,887","36,967",2.8,3.0
Webster,"38,083","39,895","43,060",4.8,7.9
Wilkinson,"29,247","30,772","34,759",5.2,13.0
Winston,"35,202","36,845","38,970",4.7,5.8
Yalobusha,"36,881","37,892","41,336",2.7,9.1
Yazoo,"27,396","28,282","33,672",3.2,19.1
Missouri,"47,250","48,945","51,697",3.6,5.6
Adair,"32,071","32,852","34,867",2.4,6.1
Andrew,"42,913","45,556","48,186",6.2,5.8
Atchison,"38,102","46,412","53,958",21.8,16.3
Audrain,"36,992","38,057","42,029",2.9,10.4
Barry,"35,578","35,740","37,114",0.5,3.8
Barton,"34,500","35,404","42,031",2.6,18.7
Bates,"38,055","40,500","44,523",6.4,9.9
Benton,"37,119","38,401","40,318",3.5,5.0
Bollinger,"32,344","33,575","36,548",3.8,8.9
Boone,"46,674","49,114","51,330",5.2,4.5
Buchanan,"38,461","40,346","42,653",4.9,5.7
Butler,"35,403","36,122","40,255",2.0,11.4
Caldwell,"37,272","38,677","41,488",3.8,7.3
Callaway,"37,154","39,446","42,524",6.2,7.8
Camden,"37,656","38,767","40,778",3.0,5.2
Cape Girardeau,"45,070","45,469","47,386",0.9,4.2
Carroll,"42,295","46,568","50,990",10.1,9.5
Carter,"31,703","33,215","35,898",4.8,8.1
Cass,"46,998","48,541","50,654",3.3,4.4
Cedar,"30,814","31,439","34,130",2.0,8.6
Chariton,"41,120","43,955","49,650",6.9,13.0
Christian,"40,535","41,755","43,602",3.0,4.4
Clark,"33,439","35,733","40,825",6.9,14.3
Clay,"47,902","49,277","51,619",2.9,4.8
Clinton,"41,764","43,484","46,823",4.1,7.7
Cole,"46,057","48,726","51,905",5.8,6.5
Cooper,"38,260","40,091","44,486",4.8,11.0
Crawford,"35,485","36,035","38,430",1.5,6.6
Dade,"33,648","34,918","38,581",3.8,10.5
Dallas,"32,907","33,893","35,840",3.0,5.7
Daviess,"32,190","33,941","37,380",5.4,10.1
DeKalb,"27,878","34,340","36,799",23.2,7.2
Dent,"32,870","33,747","36,327",2.7,7.6
Douglas,"27,160","28,628","31,031",5.4,8.4
Dunklin,"34,129","36,310","38,821",6.4,6.9
Franklin,"44,343","46,258","48,108",4.3,4.0
Gasconade,"39,464","41,022","43,589",3.9,6.3
Gentry,"40,644","43,165","46,483",6.2,7.7
Greene,"44,068","45,981","47,388",4.3,3.1
Grundy,"34,037","35,358","39,098",3.9,10.6
Harrison,"34,937","36,562","41,238",4.7,12.8
Henry,"40,898","41,731","44,780",2.0,7.3
Hickory,"28,852","29,222","31,380",1.3,7.4
Holt,"44,023","50,307","56,644",14.3,12.6
Howard,"38,741","41,227","43,946",6.4,6.6
Howell,"33,833","35,152","37,414",3.9,6.4
Iron,"32,974","33,575","36,530",1.8,8.8
Jackson,"46,419","47,718","50,209",2.8,5.2
Jasper,"41,231","41,165","42,488",-0.2,3.2
Jefferson,"42,428","43,873","46,027",3.4,4.9
Johnson,"36,821","37,654","40,207",2.3,6.8
Knox,"32,422","35,416","40,933",9.2,15.6
Laclede,"36,054","36,219","38,403",0.5,6.0
Lafayette,"41,712","42,613","45,825",2.2,7.5
Lawrence,"34,103","34,635","36,746",1.6,6.1
Lewis,"34,402","36,476","39,481",6.0,8.2
Lincoln,"40,388","41,183","44,032",2.0,6.9
Linn,"38,548","39,244","42,456",1.8,8.2
Livingston,"37,653","39,489","43,804",4.9,10.9
McDonald,"28,882","29,844","31,941",3.3,7.0
